date,triplet,head,relation,tail,sentence
2022-12-27,"{'head': 'Falling used Tesla car prices', 'relation': 'weighs', 'tail': 'demand for new Tesla vehicles'}",Falling used Tesla car prices,weighs,demand for new Tesla vehicles,Falling used Tesla car prices weighs demand for new Tesla vehicles
2022-12-28,"{'head': ""Tesla's stock price"", 'relation': 'has been falling', 'tail': ""due to softening demand for electric vehicles and Musk's distraction with running Twitter.""}",Tesla's stock price,has been falling,due to softening demand for electric vehicles and Musk's distraction with running Twitter.,Tesla's stock price has been falling due to softening demand for electric vehicles and Musk's distraction with running Twitter.
2022-12-28,"{'head': 'Tesla employees', 'relation': 'have been hurt by', 'tail': 'the plummeting share price of Tesla.'}",Tesla employees,have been hurt by,the plummeting share price of Tesla.,Tesla employees have been hurt by the plummeting share price of Tesla.
2022-12-28,"{'head': 'Morgan Stanley analysts', 'relation': ""cut their price target on Tesla's stock"", 'tail': 'to $250 from $330.'}",Morgan Stanley analysts,cut their price target on Tesla's stock,to $250 from $330.,Morgan Stanley analysts cut their price target on Tesla's stock to $250 from $330.
2022-12-28,"{'head': ""Tesla's stock price"", 'relation': 'is expected to fall further in 2023', 'tail': 'due to supply exceeding demand.'}",Tesla's stock price,is expected to fall further in 2023,due to supply exceeding demand.,Tesla's stock price is expected to fall further in 2023 due to supply exceeding demand.
2022-12-28,"{'head': 'Tesla', 'relation': 'will be prohibited from deceptively naming or marketing their vehicles as fully self-driving', 'tail': 'under a new California law.'}",Tesla,will be prohibited from deceptively naming or marketing their vehicles as fully self-driving,under a new California law.,Tesla will be prohibited from deceptively naming or marketing their vehicles as fully self-driving under a new California law.
2022-12-29,"{'head': 'Tesla Inc.', 'relation': 'lost', 'tail': '-$100 billion in value'}",Tesla Inc.,lost,-$100 billion in value,Tesla Inc. lost -$100 billion in value
2022-12-29,"{'head': 'Tesla Inc.', 'relation': 'has been down', 'tail': 'more than -65% year to date'}",Tesla Inc.,has been down,more than -65% year to date,Tesla Inc. has been down more than -65% year to date
2022-12-29,"{'head': 'CEO Elon Musk', 'relation': 'needs to find', 'tail': 'a new boss for Twitter'}",CEO Elon Musk,needs to find,a new boss for Twitter,CEO Elon Musk needs to find a new boss for Twitter
2022-12-29,"{'head': 'Tesla Inc.', 'relation': 'has room for growth', 'tail': 'next year'}",Tesla Inc.,has room for growth,next year,Tesla Inc. has room for growth next year
2022-12-29,"{'head': 'Nasdaq', 'relation': 'gained', 'tail': '+265 points, +2.60%'}",Nasdaq,gained,"+265 points, +2.60%","Nasdaq gained +265 points, +2.60%"
2022-12-30,"{'head': 'Tesla', 'relation': 'slipping consensus', 'tail': 'recent days amid further China weakness'}",Tesla,slipping consensus,recent days amid further China weakness,Tesla slipping consensus recent days amid further China weakness
2022-12-30,"{'head': 'Tesla', 'relation': 'incentive failure', 'tail': 'China'}",Tesla,incentive failure,China,Tesla incentive failure China
2022-12-30,"{'head': 'Tesla', 'relation': 'EV credit boost', 'tail': '$55,000 price cap'}",Tesla,EV credit boost,"$55,000 price cap","Tesla EV credit boost $55,000 price cap"
2022-12-30,"{'head': 'Tesla', 'relation': 'sales chill', 'tail': 'China EV subsidies ending'}",Tesla,sales chill,China EV subsidies ending,Tesla sales chill China EV subsidies ending
2022-12-30,"{'head': 'Tesla', 'relation': 'headwind', 'tail': 'Europe ending EV subsidies'}",Tesla,headwind,Europe ending EV subsidies,Tesla headwind Europe ending EV subsidies
2022-12-31,"{'head': 'Tesla Inc.', 'relation': 'stock price', 'tail': 'plunged to their lowest level in over two years.'}",Tesla Inc.,stock price,plunged to their lowest level in over two years.,Tesla Inc. stock price plunged to their lowest level in over two years.
2022-12-31,"{'head': 'Tesla Inc.', 'relation': 'fundamental woes', 'tail': 'not over.'}",Tesla Inc.,fundamental woes,not over.,Tesla Inc. fundamental woes not over.
2022-12-31,"{'head': 'Tesla Inc.', 'relation': 'demand', 'tail': 'issues in China.'}",Tesla Inc.,demand,issues in China.,Tesla Inc. demand issues in China.
2022-12-31,"{'head': 'Elon Musk', 'relation': 'focus', 'tail': 'Twitter.'}",Elon Musk,focus,Twitter.,Elon Musk focus Twitter.
2022-12-31,"{'head': ""Cathie Wood's Ark Invest"", 'relation': 'purchase', 'tail': 'Tesla shares.'}",Cathie Wood's Ark Invest,purchase,Tesla shares.,Cathie Wood's Ark Invest purchase Tesla shares.
2023-01-01,"{'head': 'Tesla', 'relation': 'plans to run a reduced production schedule', 'tail': 'at its Shanghai plant in January'}",Tesla,plans to run a reduced production schedule,at its Shanghai plant in January,Tesla plans to run a reduced production schedule at its Shanghai plant in January
2023-01-01,"{'head': 'Tesla', 'relation': 'has had', 'tail': 'a rocky 2022'}",Tesla,has had,a rocky 2022,Tesla has had a rocky 2022
2023-01-01,"{'head': ""Tesla's stock"", 'relation': 'suffered', 'tail': 'its worst year decline ever'}",Tesla's stock,suffered,its worst year decline ever,Tesla's stock suffered its worst year decline ever
2023-01-01,"{'head': ""Tesla's stock"", 'relation': 'is trading', 'tail': 'for 22 time estimated 2023 earnings of about $5.60 a share'}",Tesla's stock,is trading,for 22 time estimated 2023 earnings of about $5.60 a share,Tesla's stock is trading for 22 time estimated 2023 earnings of about $5.60 a share
2023-01-01,"{'head': 'Tesla', 'relation': 'is expected to', 'tail': 'grow deliveries about 40% in 2023'}",Tesla,is expected to,grow deliveries about 40% in 2023,Tesla is expected to grow deliveries about 40% in 2023
2023-01-02,"{'head': 'Tesla Inc.', 'relation': 'missed', 'tail': 'Wall Street estimates'}",Tesla Inc.,missed,Wall Street estimates,Tesla Inc. missed Wall Street estimates
2023-01-02,"{'head': ""Tesla's fourth quarter deliveries"", 'relation': 'fell short', 'tail': 'production by 34,000 vehicles'}",Tesla's fourth quarter deliveries,fell short,"production by 34,000 vehicles","Tesla's fourth quarter deliveries fell short production by 34,000 vehicles"
2023-01-02,"{'head': 'Tesla', 'relation': 'faces', 'tail': 'demand weakness in China'}",Tesla,faces,demand weakness in China,Tesla faces demand weakness in China
2023-01-02,"{'head': 'Tesla', 'relation': 'faces', 'tail': 'stiff competition from legacy automakers'}",Tesla,faces,stiff competition from legacy automakers,Tesla faces stiff competition from legacy automakers
2023-01-02,"{'head': 'Tesla', 'relation': 'plans', 'tail': 'to run a reduced production schedule in Shanghai plant'}",Tesla,plans,to run a reduced production schedule in Shanghai plant,Tesla plans to run a reduced production schedule in Shanghai plant
2023-01-03,"{'head': 'Tesla Inc', 'relation': 'decreased in stock price', 'tail': 'by 12.4%'}",Tesla Inc,decreased in stock price,by 12.4%,Tesla Inc decreased in stock price by 12.4%
2023-01-03,"{'head': 'Tesla Inc', 'relation': 'reached a low', 'tail': 'not seen since 2020'}",Tesla Inc,reached a low,not seen since 2020,Tesla Inc reached a low not seen since 2020
2023-01-03,"{'head': 'Tesla Inc', 'relation': 'saw its most significant drop', 'tail': 'since 2020'}",Tesla Inc,saw its most significant drop,since 2020,Tesla Inc saw its most significant drop since 2020
2023-01-03,"{'head': 'Apple Inc', 'relation': 'decreased in market value', 'tail': 'below $2 trillion'}",Apple Inc,decreased in market value,below $2 trillion,Apple Inc decreased in market value below $2 trillion
2023-01-04,"{'head': 'Elon Musk', 'relation': 'agreed to buy', 'tail': 'Twitter'}",Elon Musk,agreed to buy,Twitter,Elon Musk agreed to buy Twitter
2023-01-04,"{'head': 'Tesla short sellers', 'relation': 'profited', 'tail': '$15.85 billion'}",Tesla short sellers,profited,$15.85 billion,Tesla short sellers profited $15.85 billion
2023-01-04,"{'head': 'Tesla short sellers', 'relation': 'biggest profit by dollar amount', 'tail': '83.8%'}",Tesla short sellers,biggest profit by dollar amount,83.8%,Tesla short sellers biggest profit by dollar amount 83.8%
2023-01-04,"{'head': 'Tesla', 'relation': 'sector included in', 'tail': 'consumer staples'}",Tesla,sector included in,consumer staples,Tesla sector included in consumer staples
2023-01-04,"{'head': 'Short sellers', 'relation': 'made', 'tail': '$5.35 billion from Apple'}",Short sellers,made,$5.35 billion from Apple,Short sellers made $5.35 billion from Apple
2023-01-05,"{'head': 'Stellantis NV', 'relation': 'unveiled', 'tail': 'electric Ram pickup prototype'}",Stellantis NV,unveiled,electric Ram pickup prototype,Stellantis NV unveiled electric Ram pickup prototype
2023-01-05,"{'head': 'Tesla Inc', 'relation': 'ended down', 'tail': '2.9%'}",Tesla Inc,ended down,2.9%,Tesla Inc ended down 2.9%
2023-01-05,"{'head': 'Tesla Cybertruck', 'relation': 'launching this year', 'tail': 'factory in Texas'}",Tesla Cybertruck,launching this year,factory in Texas,Tesla Cybertruck launching this year factory in Texas
2023-01-05,"{'head': 'Stellantis', 'relation': 'aiming to match', 'tail': 'Tesla technology'}",Stellantis,aiming to match,Tesla technology,Stellantis aiming to match Tesla technology
2023-01-05,"{'head': 'Stellantis Ram prototype', 'relation': 'part of strategy', 'tail': 'Carlos Tavares outlined'}",Stellantis Ram prototype,part of strategy,Carlos Tavares outlined,Stellantis Ram prototype part of strategy Carlos Tavares outlined
2023-01-06,"{'head': 'Tesla Inc.', 'relation': 'recently boosted incentives and slashed prices', 'tail': 'to keep up with cooling demand in the largest EV market.'}",Tesla Inc.,recently boosted incentives and slashed prices,to keep up with cooling demand in the largest EV market.,Tesla Inc. recently boosted incentives and slashed prices to keep up with cooling demand in the largest EV market.
2023-01-06,"{'head': 'Tesla Inc.', 'relation': 'has recently seen a cooling demand', 'tail': 'in the largest EV market.'}",Tesla Inc.,has recently seen a cooling demand,in the largest EV market.,Tesla Inc. has recently seen a cooling demand in the largest EV market.
2023-01-06,"{'head': 'Tesla Inc.', 'relation': 'is facing competition', 'tail': 'from other EV makers.'}",Tesla Inc.,is facing competition,from other EV makers.,Tesla Inc. is facing competition from other EV makers.
2023-01-06,"{'head': 'Tesla Inc.', 'relation': 'is facing pressure', 'tail': 'to reduce prices.'}",Tesla Inc.,is facing pressure,to reduce prices.,Tesla Inc. is facing pressure to reduce prices.
2023-01-06,"{'head': 'Tesla Inc.', 'relation': 'is facing challenges', 'tail': 'in the Chinese market.'}",Tesla Inc.,is facing challenges,in the Chinese market.,Tesla Inc. is facing challenges in the Chinese market.
2023-01-07,"{'head': 'Elon Musk', 'relation': 'wants', 'tail': 'Tesla shareholder fraud trial moved to Texas'}",Elon Musk,wants,Tesla shareholder fraud trial moved to Texas,Elon Musk wants Tesla shareholder fraud trial moved to Texas
2023-01-07,"{'head': 'Tesla shareholder fraud trial', 'relation': 'set to begin', 'tail': 'January 17'}",Tesla shareholder fraud trial,set to begin,January 17,Tesla shareholder fraud trial set to begin January 17
2023-01-07,"{'head': 'Elon Musk', 'relation': 'maintains', 'tail': 'Saudi Arabia’s sovereign wealth fund agreed to support Tesla private'}",Elon Musk,maintains,Saudi Arabia’s sovereign wealth fund agreed to support Tesla private,Elon Musk maintains Saudi Arabia’s sovereign wealth fund agreed to support Tesla private
2023-01-07,"{'head': 'Tesla', 'relation': 'moved HQ to', 'tail': 'Austin from northern California'}",Tesla,moved HQ to,Austin from northern California,Tesla moved HQ to Austin from northern California
2023-01-07,"{'head': 'Elon Musk', 'relation': 'subject to', 'tail': 'negative news coverage'}",Elon Musk,subject to,negative news coverage,Elon Musk subject to negative news coverage
2023-01-08,"{'head': 'Apple Inc.', 'relation': 'contributes to', 'tail': ""one third of S&P 500's decline""}",Apple Inc.,contributes to,one third of S&P 500's decline,Apple Inc. contributes to one third of S&P 500's decline
2023-01-08,"{'head': 'Tesla Inc.', 'relation': 'contributes to', 'tail': ""one third of S&P 500's decline""}",Tesla Inc.,contributes to,one third of S&P 500's decline,Tesla Inc. contributes to one third of S&P 500's decline
2023-01-08,"{'head': 'UBS analysts', 'relation': 'question', 'tail': 'growth prospects of Microsoft Corp.’s cloud-computing business'}",UBS analysts,question,growth prospects of Microsoft Corp.’s cloud-computing business,UBS analysts question growth prospects of Microsoft Corp.’s cloud-computing business
2023-01-08,"{'head': 'Tesla', 'relation': 'faces', 'tail': 'falling sales in China'}",Tesla,faces,falling sales in China,Tesla faces falling sales in China
2023-01-08,"{'head': ""Tesla's stock"", 'relation': 'plunged', 'tail': 'for the week'}",Tesla's stock,plunged,for the week,Tesla's stock plunged for the week
2023-01-09,"{'head': 'Tesla Inc', 'relation': 'increased share price', 'tail': '5.9%'}",Tesla Inc,increased share price,5.9%,Tesla Inc increased share price 5.9%
2023-01-09,"{'head': 'Tesla Inc', 'relation': 'indicated longer waiting times', 'tail': 'Model Y in China'}",Tesla Inc,indicated longer waiting times,Model Y in China,Tesla Inc indicated longer waiting times Model Y in China
2023-01-09,"{'head': 'Recent price cuts', 'relation': 'could be stoking demand', 'tail': 'Tesla Inc'}",Recent price cuts,could be stoking demand,Tesla Inc,Recent price cuts could be stoking demand Tesla Inc
2023-01-09,"{'head': 'Nikkei 225', 'relation': 'rose 1.08%', 'tail': 'first hour of trade'}",Nikkei 225,rose 1.08%,first hour of trade,Nikkei 225 rose 1.08% first hour of trade
2023-01-09,"{'head': 'Topix', 'relation': 'gained 0.91%', 'tail': 'first hour of trade'}",Topix,gained 0.91%,first hour of trade,Topix gained 0.91% first hour of trade
2023-01-10,"{'head': 'Tesla', 'relation': 'closed at', 'tail': '$118.85'}",Tesla,closed at,$118.85,Tesla closed at $118.85
2023-01-10,"{'head': 'Tesla', 'relation': 'percent change', 'tail': '-0.77%'}",Tesla,percent change,-0.77%,Tesla percent change -0.77%
2023-01-10,"{'head': 'Tesla', 'relation': 'lagged', 'tail': ""S&P 500's daily gain of 0.7%""}",Tesla,lagged,S&P 500's daily gain of 0.7%,Tesla lagged S&P 500's daily gain of 0.7%
2023-01-10,"{'head': 'Tesla', 'relation': 'lost', 'tail': '28.63%'}",Tesla,lost,28.63%,Tesla lost 28.63%
2023-01-10,"{'head': 'Tesla', 'relation': 'trading period', 'tail': 'past month'}",Tesla,trading period,past month,Tesla trading period past month
2023-01-11,"{'head': 'Tesla', 'relation': 'lost', 'tail': '65% of its value in 2022'}",Tesla,lost,65% of its value in 2022,Tesla lost 65% of its value in 2022
2023-01-11,"{'head': 'Tesla', 'relation': 'has', 'tail': 'a forward price-to-sales ratio of 3.4X'}",Tesla,has,a forward price-to-sales ratio of 3.4X,Tesla has a forward price-to-sales ratio of 3.4X
2023-01-11,"{'head': 'Tesla', 'relation': 'has', 'tail': ""a Style Score of 'C' for Value""}",Tesla,has,a Style Score of 'C' for Value,Tesla has a Style Score of 'C' for Value
2023-01-11,"{'head': ""Tesla's"", 'relation': 'valuation multiples', 'tail': 'have pulled back extensively'}",Tesla's,valuation multiples,have pulled back extensively,Tesla's valuation multiples have pulled back extensively
2023-01-11,"{'head': 'Tesla', 'relation': 'delivered', 'tail': '405,000 EVs in Q4'}",Tesla,delivered,"405,000 EVs in Q4","Tesla delivered 405,000 EVs in Q4"
2023-01-12,"{'head': 'Tesla', 'relation': 'missed', 'tail': 'delivery targets'}",Tesla,missed,delivery targets,Tesla missed delivery targets
2023-01-12,"{'head': 'Tesla', 'relation': 'delayed', 'tail': 'Shanghai factory expansion plans'}",Tesla,delayed,Shanghai factory expansion plans,Tesla delayed Shanghai factory expansion plans
2023-01-12,"{'head': 'Tesla', 'relation': 'impacted by', 'tail': 'COVID-related factory shutdowns in China'}",Tesla,impacted by,COVID-related factory shutdowns in China,Tesla impacted by COVID-related factory shutdowns in China
2023-01-12,"{'head': 'Tesla', 'relation': 'impacted by', 'tail': 'change in vehicle production and delivery methods'}",Tesla,impacted by,change in vehicle production and delivery methods,Tesla impacted by change in vehicle production and delivery methods
2023-01-12,"{'head': 'Tesla', 'relation': 'stock price', 'tail': 'unaffected by Bloomberg report'}",Tesla,stock price,unaffected by Bloomberg report,Tesla stock price unaffected by Bloomberg report
2023-01-13,"{'head': 'Tesla', 'relation': 'cut prices', 'tail': 'boost demand'}",Tesla,cut prices,boost demand,Tesla cut prices boost demand
2023-01-13,"{'head': 'Tesla price cuts', 'relation': 'negatively impacted', 'tail': 'Ford, GM, and Stellantis sales'}",Tesla price cuts,negatively impacted,"Ford, GM, and Stellantis sales","Tesla price cuts negatively impacted Ford, GM, and Stellantis sales"
2023-01-13,"{'head': 'Tesla Model 3', 'relation': 'reduced base price', 'tail': '6%'}",Tesla Model 3,reduced base price,6%,Tesla Model 3 reduced base price 6%
2023-01-13,"{'head': 'Tesla sharp price cuts', 'relation': 'sent down', 'tail': 'Tesla shares 2%'}",Tesla sharp price cuts,sent down,Tesla shares 2%,Tesla sharp price cuts sent down Tesla shares 2%
2023-01-13,"{'head': ""Tesla's stock"", 'relation': 'plummeted', 'tail': '65% since the start of last year'}",Tesla's stock,plummeted,65% since the start of last year,Tesla's stock plummeted 65% since the start of last year
2023-01-14,error: news blocked,-,-,-,
2023-01-15,"{'head': 'Tesla', 'relation': 'announced', 'tail': 'big price cuts'}",Tesla,announced,big price cuts,Tesla announced big price cuts
2023-01-15,"{'head': 'Tesla', 'relation': 'faces', 'tail': 'painful transition'}",Tesla,faces,painful transition,Tesla faces painful transition
2023-01-15,"{'head': 'Tesla', 'relation': 'slashed', 'tail': 'prices in China'}",Tesla,slashed,prices in China,Tesla slashed prices in China
2023-01-15,"{'head': 'Tesla', 'relation': 'has', 'tail': 'prized margins'}",Tesla,has,prized margins,Tesla has prized margins
2023-01-15,"{'head': 'Tesla', 'relation': 'needs', 'tail': 'big boost'}",Tesla,needs,big boost,Tesla needs big boost
2023-01-16,"{'head': 'Tesla Inc.', 'relation': 'has case', 'tail': 'securities-fraud trial'}",Tesla Inc.,has case,securities-fraud trial,Tesla Inc. has case securities-fraud trial
2023-01-16,"{'head': 'Elon Musk', 'relation': 'is involved in', 'tail': 'securities-fraud trial'}",Elon Musk,is involved in,securities-fraud trial,Elon Musk is involved in securities-fraud trial
2023-01-16,"{'head': 'Elon Musk', 'relation': 'has tweet', 'tail': 'Am considering taking Tesla private at $420'}",Elon Musk,has tweet,Am considering taking Tesla private at $420,Elon Musk has tweet Am considering taking Tesla private at $420
2023-01-16,"{'head': 'securities-fraud trial', 'relation': 'is about', 'tail': 'Tesla going private'}",securities-fraud trial,is about,Tesla going private,securities-fraud trial is about Tesla going private
2023-01-16,"{'head': 'Tesla Inc.', 'relation': 'has ceo', 'tail': 'Elon Musk'}",Tesla Inc.,has ceo,Elon Musk,Tesla Inc. has ceo Elon Musk
2023-01-17,"{'head': 'Tesla', 'relation': 'has shareholder case', 'tail': 'over Musks 2018 tweets'}",Tesla,has shareholder case,over Musks 2018 tweets,Tesla has shareholder case over Musks 2018 tweets
2023-01-17,"{'head': 'Elon Musk', 'relation': 'tweeted in 2018', 'tail': 'funding secured to take Tesla private'}",Elon Musk,tweeted in 2018,funding secured to take Tesla private,Elon Musk tweeted in 2018 funding secured to take Tesla private
2023-01-17,"{'head': 'Tesla shareholders', 'relation': 'sued Musk', 'tail': 'in August 2018'}",Tesla shareholders,sued Musk,in August 2018,Tesla shareholders sued Musk in August 2018
2023-01-17,"{'head': 'Elon Musk', 'relation': 'has reputation', 'tail': 'for unpredictable behavior'}",Elon Musk,has reputation,for unpredictable behavior,Elon Musk has reputation for unpredictable behavior
2023-01-17,"{'head': 'Elon Musk', 'relation': 'named one of his children', 'tail': 'with a symbol'}",Elon Musk,named one of his children,with a symbol,Elon Musk named one of his children with a symbol
2023-01-18,"{'head': 'Tesla (TSLA)', 'relation': 'price drop', 'tail': '2.1%'}",Tesla (TSLA),price drop,2.1%,Tesla (TSLA) price drop 2.1%
2023-01-18,"{'head': 'Tesla (TSLA)', 'relation': 'failed to breakout', 'tail': '21-day moving average'}",Tesla (TSLA),failed to breakout,21-day moving average,Tesla (TSLA) failed to breakout 21-day moving average
2023-01-18,"{'head': 'Tesla (TSLA)', 'relation': 'profit growth forecast', 'tail': 'slow down'}",Tesla (TSLA),profit growth forecast,slow down,Tesla (TSLA) profit growth forecast slow down
2023-01-18,"{'head': 'Tesla (TSLA)', 'relation': 'stock price rally', 'tail': 'hopes of increased demand'}",Tesla (TSLA),stock price rally,hopes of increased demand,Tesla (TSLA) stock price rally hopes of increased demand
2023-01-18,"{'head': ""Cathie Wood's Ark"", 'relation': 'recent investment', 'tail': 'Tesla (TSLA)'}",Cathie Wood's Ark,recent investment,Tesla (TSLA),Cathie Wood's Ark recent investment Tesla (TSLA)
2023-01-19,"{'head': 'Tesla Inc.', 'relation': 'has been sued for', 'tail': 'securities fraud'}",Tesla Inc.,has been sued for,securities fraud,Tesla Inc. has been sued for securities fraud
2023-01-19,"{'head': 'Elon Musk', 'relation': 'is facing a securities fraud trial', 'tail': 'over his August 2018 tweet'}",Elon Musk,is facing a securities fraud trial,over his August 2018 tweet,Elon Musk is facing a securities fraud trial over his August 2018 tweet
2023-01-19,"{'head': ""Elon Musk's tweet"", 'relation': 'led to', 'tail': 'investors losing millions of dollars'}",Elon Musk's tweet,led to,investors losing millions of dollars,Elon Musk's tweet led to investors losing millions of dollars
2023-01-19,"{'head': 'Ark Innovation fund', 'relation': 'fell', 'tail': '3.2% on Thursday'}",Ark Innovation fund,fell,3.2% on Thursday,Ark Innovation fund fell 3.2% on Thursday
2023-01-19,"{'head': 'Ark Innovation fund', 'relation': 'fell', 'tail': 'nearly 67% in 2022'}",Ark Innovation fund,fell,nearly 67% in 2022,Ark Innovation fund fell nearly 67% in 2022
2023-01-20,"{'head': ""Tesla's stock price"", 'relation': 'has declined', 'tail': 'due to demand concerns and macroeconomic pressures'}",Tesla's stock price,has declined,due to demand concerns and macroeconomic pressures,Tesla's stock price has declined due to demand concerns and macroeconomic pressures
2023-01-20,"{'head': 'CEO Elon Musk', 'relation': 'has sold Tesla shares', 'tail': 'raising concerns among investors'}",CEO Elon Musk,has sold Tesla shares,raising concerns among investors,CEO Elon Musk has sold Tesla shares raising concerns among investors
2023-01-20,"{'head': 'Tesla', 'relation': 'is facing', 'tail': 'macroeconomic headwinds'}",Tesla,is facing,macroeconomic headwinds,Tesla is facing macroeconomic headwinds
2023-01-20,"{'head': 'Investors', 'relation': 'are uncertain', 'tail': ""about Tesla's near-term performance""}",Investors,are uncertain,about Tesla's near-term performance,Investors are uncertain about Tesla's near-term performance
2023-01-20,"{'head': ""Tesla's stock"", 'relation': 'has been dragged down', 'tail': ""by declining demand and concerns over Elon Musk's role at Twitter""}",Tesla's stock,has been dragged down,by declining demand and concerns over Elon Musk's role at Twitter,Tesla's stock has been dragged down by declining demand and concerns over Elon Musk's role at Twitter
2023-01-21,"{'head': 'Tesla', 'relation': 'has retained earnings', 'tail': '-$4,974,299,000'}",Tesla,has retained earnings,"-$4,974,299,000","Tesla has retained earnings -$4,974,299,000"
2023-01-21,"{'head': 'Tesla', 'relation': 'has current ratio', 'tail': '0.86'}",Tesla,has current ratio,0.86,Tesla has current ratio 0.86
2023-01-21,"{'head': 'Tesla', 'relation': 'is mentioned in news', 'tail': 'week of Jan. 16'}",Tesla,is mentioned in news,week of Jan. 16,Tesla is mentioned in news week of Jan. 16
2023-01-21,"{'head': 'Tesla', 'relation': 'has price cuts', 'tail': 'effects discussed in news'}",Tesla,has price cuts,effects discussed in news,Tesla has price cuts effects discussed in news
2023-01-21,"{'head': 'Tesla', 'relation': 'has growth in energy market', 'tail': 'solar and storage'}",Tesla,has growth in energy market,solar and storage,Tesla has growth in energy market solar and storage
2023-01-22,"{'head': 'Elon Musk', 'relation': 'sold', 'tail': ""$40 billion in Tesla's stock""}",Elon Musk,sold,$40 billion in Tesla's stock,Elon Musk sold $40 billion in Tesla's stock
2023-01-22,"{'head': 'Tesla', 'relation': 'downgraded', 'tail': 'Guggenheim'}",Tesla,downgraded,Guggenheim,Tesla downgraded Guggenheim
2023-01-22,"{'head': 'Tesla', 'relation': 'vehicle deliveries', 'tail': 'below guidance'}",Tesla,vehicle deliveries,below guidance,Tesla vehicle deliveries below guidance
2023-01-22,"{'head': 'Tesla', 'relation': 'Q4 results', 'tail': 'Tuesday'}",Tesla,Q4 results,Tuesday,Tesla Q4 results Tuesday
2023-01-22,"{'head': 'Elon Musk', 'relation': 'crucial information', 'tail': 'slowing sales'}",Elon Musk,crucial information,slowing sales,Elon Musk crucial information slowing sales
2023-01-23,"{'head': 'Elon Musk', 'relation': 'considered using SpaceX shares', 'tail': ""fund Tesla's privatization""}",Elon Musk,considered using SpaceX shares,fund Tesla's privatization,Elon Musk considered using SpaceX shares fund Tesla's privatization
2023-01-23,"{'head': 'Saudi investors', 'relation': 'backed out of commitment', 'tail': 'Tesla privatization deal'}",Saudi investors,backed out of commitment,Tesla privatization deal,Saudi investors backed out of commitment Tesla privatization deal
2023-01-23,"{'head': ""Musk's tweet"", 'relation': 'alleged to have misled', 'tail': 'Tesla investors'}",Musk's tweet,alleged to have misled,Tesla investors,Musk's tweet alleged to have misled Tesla investors
2023-01-23,"{'head': 'Elon Musk', 'relation': 'sold part of Tesla stake', 'tail': 'fund SpaceX purchase'}",Elon Musk,sold part of Tesla stake,fund SpaceX purchase,Elon Musk sold part of Tesla stake fund SpaceX purchase
2023-01-23,"{'head': 'Elon Musk', 'relation': 'testified while tired', 'tail': 'raising concerns about his state of mind'}",Elon Musk,testified while tired,raising concerns about his state of mind,Elon Musk testified while tired raising concerns about his state of mind
2023-01-24,"{'head': 'Tesla', 'relation': 'plans to produce', 'tail': '50,000 Semi electric trucks in 2024'}",Tesla,plans to produce,"50,000 Semi electric trucks in 2024","Tesla plans to produce 50,000 Semi electric trucks in 2024"
2023-01-24,"{'head': 'Tesla', 'relation': 'aims to produce', 'tail': '100 Semi electric trucks in 2022'}",Tesla,aims to produce,100 Semi electric trucks in 2022,Tesla aims to produce 100 Semi electric trucks in 2022
2023-01-24,"{'head': 'Tesla', 'relation': 'invests', 'tail': '$3.6 billion to expand Nevada complex with two factories'}",Tesla,invests,$3.6 billion to expand Nevada complex with two factories,Tesla invests $3.6 billion to expand Nevada complex with two factories
2023-01-24,"{'head': 'PepsiCo', 'relation': 'plans to roll out', 'tail': '100 Semi electric trucks in 2023'}",PepsiCo,plans to roll out,100 Semi electric trucks in 2023,PepsiCo plans to roll out 100 Semi electric trucks in 2023
2023-01-24,"{'head': 'Tesla', 'relation': 'has', 'tail': 'first facility to mass produce Semi electric truck'}",Tesla,has,first facility to mass produce Semi electric truck,Tesla has first facility to mass produce Semi electric truck
2023-01-25,"{'head': 'Tesla', 'relation': 'has a cost advantage over', 'tail': 'other EV makers'}",Tesla,has a cost advantage over,other EV makers,Tesla has a cost advantage over other EV makers
2023-01-25,"{'head': 'Tesla', 'relation': 'plans to produce', 'tail': '1.8 million units in 2023'}",Tesla,plans to produce,1.8 million units in 2023,Tesla plans to produce 1.8 million units in 2023
2023-01-25,"{'head': ""Tesla's new plants in Austin, Texas, and Berlin, Germany"", 'relation': 'were producing', 'tail': 'about 3,000 cars a week at the end of 2022'}","Tesla's new plants in Austin, Texas, and Berlin, Germany",were producing,"about 3,000 cars a week at the end of 2022","Tesla's new plants in Austin, Texas, and Berlin, Germany were producing about 3,000 cars a week at the end of 2022"
2023-01-25,"{'head': 'Tesla', 'relation': 'expects to produce', 'tail': 'the best margins in the car business'}",Tesla,expects to produce,the best margins in the car business,Tesla expects to produce the best margins in the car business
2023-01-25,"{'head': 'Tesla', 'relation': 'wants to keep the pressure on', 'tail': 'peers'}",Tesla,wants to keep the pressure on,peers,Tesla wants to keep the pressure on peers
2023-01-27,"{'head': 'Elon Musk', 'relation': 'tweeted', 'tail': 'Am considering taking Tesla private at $420.'}",Elon Musk,tweeted,Am considering taking Tesla private at $420.,Elon Musk tweeted Am considering taking Tesla private at $420.
2023-01-27,"{'head': 'Elon Musk', 'relation': 'tweeted', 'tail': 'Funding secured.'}",Elon Musk,tweeted,Funding secured.,Elon Musk tweeted Funding secured.
2023-01-27,"{'head': 'Tesla', 'relation': 'remained', 'tail': 'Public'}",Tesla,remained,Public,Tesla remained Public
